PAID	PAName	PADescr
9506	Center Electrode Insulator Tip Projection	Describes The Projection Measurement Of The Center Electrode Insulator Tip.
9507	Hex Type	Describes The Type Of Hex.
9608	Center Electrode Design	Describes The Design Of The Center Electrode.
9717	Color Rendering Index (CRI)	Describes The Color Rendering Index (CRI) Of The Product.
9745	Washer Type	Describes The Type Of Washer.
9746	Indexed	Describes If The Product Is Indexed.
9748	Core Nose Length	This is the length of the ceramic section of the insulator inside an spark plug's shell.
9793	Indicated Mean Effective Pressure (IMEP)	The Average Pressure Acting On A Piston During It's Cycles Different Sections From Inside It's Cylinder.
9805	Center Electrode Projection	Describes The Projection Of The Center Electrode.
9995	Primary Brightness	Describes the low/first filament in a bulb.
10147	Flavor	Describes The Flavor Of The Candy.
10148	Candy Type	Describes The Type Of Candy.
