ChangeDetailID|ChangeID|ChangeAttributeStateID|TableNameID|PrimaryKeyColumnName|PrimaryKeyBefore|PrimaryKeyAfter|ColumnName|ColumnValueBefore|ColumnValueAfter
109985|33771|1|1|QualifierId||27230|QualifierText||Valve cover gasket (/s) included
109986|33771|1|1|QualifierId||27230|ExampleText||Valve cover gasket (/s) included
109987|33771|1|1|QualifierId||27230|QualifierTypeId||5
110000|33776|3|1|QualifierId|27230|27230|QualifierText|Valve cover gasket (/s) included|Valve Cover Gasket(s) Included
110001|33776|3|1|QualifierId|27230|27230|ExampleText|Valve cover gasket (/s) included|Valve Cover Gasket(s) Included
111001|34040|1|1|QualifierId||27470|QualifierId||27470
111002|34040|1|1|QualifierId||27470|QualifierText||Torque To Yield Bolts Must Be Replaced
111003|34040|1|1|QualifierId||27470|ExampleText||Torque To Yield Bolts Must Be Replaced
111004|34040|1|1|QualifierId||27470|QualifierTypeId||6
183402|52227|1|1|QualifierId||27866|QualifierId||27866
183403|52227|1|1|QualifierId||27866|QualifierText||Requires Removal of Factory Upper Arm Frame Droop Stops
183404|52227|1|1|QualifierId||27866|ExampleText||Requires Removal of Factory Upper Arm Frame Droop Stops
183405|52227|1|1|QualifierId||27866|QualifierTypeId||4
